


"Neighborhood Festival";"Festival del Barrio"
"A boy draws superheroes in the corner.";"Un niño dibuja superhéroes en la esquina."
"The day begins quietly, like always.";"El día empieza en silencio, como siempre."
"Visitors enter one by one.";"Los visitantes entran uno por uno."
"We send a request for a new book.";"Mandamos una solicitud para un libro nuevo."
"Everyone listens to the soft sound of pages turning.";"Todos escuchan el sonido suave de las páginas al voltearse."
"I wait for my coffee to cool down.";"Espero a que mi café se enfríe."
"They study for their exams near the back wall.";"Ellos estudian para sus exámenes cerca de la pared del fondo."
"The librarian explains how to find old magazines.";"La bibliotecaria explica cómo encontrar revistas viejas."

-----

"The Quiet Classroom";"El Aula Silenciosa"
"I answer the first question, and the room becomes quiet.";"Contesto la primera pregunta y el salón se queda en silencio."
"We rest for a moment before the next activity.";"Descansamos un momento antes de la siguiente actividad."
"The teacher draws a big circle on the board.";"La maestra dibuja un círculo grande en el pizarrón."
"The class begins with simple exercises.";"La clase empieza con ejercicios simples."
"New students enter the room slowly.";"Nuevos estudiantes entran al salón despacio."
"She sends a message to remind us about homework.";"Ella envía un mensaje para recordarnos la tarea."
"We listen carefully to every instruction.";"Escuchamos con atención cada instrucción."
"I wait for my turn with patience.";"Espero mi turno con paciencia."
"They study together near the window.";"Ellos estudian juntos cerca de la ventana."
"The teacher explains everything in a calm voice.";"La maestra explica todo con una voz tranquila."

-----






"The Morning Contest";"El Concurso de la Mañana"
"I win a small prize at the community center.";"Gano un premio pequeño en el centro comunitario."
"We talk about the contest while we drink coffee.";"Hablamos del concurso mientras tomamos café."
"She tries to open the box, but it is taped shut.";"Ella intenta abrir la caja, pero está bien sellada."
"They invite us to stay for another activity.";"Nos invitan a quedarnos para otra actividad."
"You wash your hands before the next game.";"Lavas tus manos antes del siguiente juego."
"The volunteers clean the tables quickly.";"Los voluntarios limpian las mesas rápido."
"He calls his brother to tell him the news.";"Él llama a su hermano para contarle la noticia."
"More people arrive and fill the room.";"Más personas llegan y llenan el salón."
"We carry the prize home carefully.";"Llevamos el premio a casa con cuidado."
"Tomorrow I am going to send a picture of it to my family.";"Mañana voy a mandar una foto a mi familia."

-----

"The Friendly Visit";"La Visita Amistosa"
"They win free tickets for a local show.";"Ellos ganan boletos gratis para un show local."
"You talk with the host at the entrance.";"Hablas con el anfitrión en la entrada."
"We try to find our seats before the lights go down.";"Intentamos encontrar nuestros asientos antes de que bajen las luces."
"I invite my neighbor to sit with us.";"Invito a mi vecino a sentarse con nosotros."
"She washes her hands after eating popcorn.";"Ella se lava las manos después de comer palomitas."
"The staff clean the floor between shows.";"El personal limpia el piso entre funciones."
"They call the winners to the stage.";"Llaman a los ganadores al escenario."
"More guests arrive and fill the theater.";"Más invitados llegan y llenan el teatro."
"We carry our jackets because it gets cold inside.";"Llevamos nuestras chamarras porque se pone frío adentro."
"After the show, we are going to send a thank‑you message.";"Después del show, vamos a mandar un mensaje de agradecimiento."

-----

"The Busy Afternoon";"La Tarde Ocupada"
"He wins a small award at school.";"Él gana un premio pequeño en la escuela."
"We talk about his project on the way home.";"Hablamos de su proyecto camino a casa."
"I try to help him carry his backpack.";"Intento ayudarlo a llevar su mochila."
"They invite us to a study group later.";"Nos invitan a un grupo de estudio más tarde."
"You wash the dishes after lunch.";"Lavas los trastes después de la comida."
"Your sister cleans the living room.";"Tu hermana limpia la sala."
"I call my mom to check in.";"Llamo a mi mamá para saludarla."
"Friends arrive with notebooks and snacks.";"Amigos llegan con cuadernos y botanas."
"They carry extra pencils for everyone.";"Llevan lápices extra para todos."
"Later we are going to send the homework answers.";"Más tarde vamos a mandar las respuestas de la tarea."

-----

"The Family Weekend";"El Fin de Semana Familiar"
"We win a free dessert at our favorite restaurant.";"Ganamos un postre gratis en nuestro restaurante favorito."
"My parents talk with the waiter about the menu.";"Mis papás hablan con el mesero sobre el menú."
"I try a new drink with fresh fruit.";"Intento una bebida nueva con fruta fresca."
"They invite the grandparents to join us.";"Invitan a los abuelos a acompañarnos."
"The kids wash their hands before eating.";"Los niños se lavan las manos antes de comer."
"The cooks clean the counter between orders.";"Los cocineros limpian la barra entre pedidos."
"My aunt calls to say she is close.";"Mi tía llama para decir que ya está cerca."
"She arrives with a big smile.";"Ella llega con una sonrisa grande."
"We carry leftovers home for later.";"Llevamos comida sobrante a casa para más tarde."
"Tomorrow we are going to send photos to the whole family.";"Mañana vamos a mandar fotos a toda la familia."

-----



"The Art Class";"La Clase de Arte"
"We look at the paintings on the wall.";"Miramos las pinturas en la pared."
"The teacher shows us a new technique.";"La maestra nos muestra una técnica nueva."
"I need more paper for my project.";"Necesito más papel para mi proyecto."
"He forgets his brushes at home.";"Él olvida sus pinceles en casa."
"They pay for extra materials at the front desk.";"Ellos pagan por materiales extra en la recepción."
"You practice slow, careful lines.";"Practicas líneas lentas y cuidadosas."
"I ask a question about the colors.";"Pregunto algo sobre los colores."
"She prepares a small example for the class.";"Ella prepara un pequeño ejemplo para la clase."
"Only two minutes remain before the break.";"Solo quedan dos minutos antes del descanso."
"Tomorrow we are going to remember this lesson well.";"Mañana vamos a recordar bien esta lección."

----


"The Busy Kitchen";"La Cocina Ocupada"
"I look at the recipe on my phone.";"Miro la receta en mi teléfono."
"You show me where the spices are.";"Me muestras dónde están las especias."
"We need more tomatoes for the soup.";"Necesitamos más tomates para la sopa."
"She forgets the salt every time.";"Ella olvida la sal cada vez."
"They pay for fresh bread at the bakery.";"Ellos pagan por pan fresco en la panadería."
"He practices cutting vegetables safely.";"Él practica cortar verduras con cuidado."
"I ask a question about the cooking time.";"Pregunto sobre el tiempo de cocción."
"We prepare the table before everyone arrives.";"Preparamos la mesa antes de que todos lleguen."
"Only one bowl remains clean.";"Solo queda un tazón limpio."
"Later we are going to remember to wash everything sooner.";"Más tarde vamos a recordar lavar todo más temprano."

----

"The Afternoon Errands";"Los Mandados de la Tarde"
"They look at the list of things to buy.";"Ellos miran la lista de cosas para comprar."
"He shows me the cheapest option.";"Él me muestra la opción más barata."
"I need a new notebook for class.";"Necesito un cuaderno nuevo para la clase."
"You forget your wallet in the car.";"Olvidas tu cartera en el coche."
"We pay at the small counter near the door.";"Pagamos en la ventanita cerca de la puerta."
"She practices her signature for a form.";"Ella practica su firma para un formulario."
"I ask a question about the return policy.";"Pregunto sobre la política de devoluciones."
"They prepare the bags quickly.";"Ellos preparan las bolsas rápido."
"Only a few items remain on the shelf.";"Solo quedan unos cuantos artículos en el estante."
"Next time we are going to remember to bring a bigger bag.";"La próxima vez vamos a recordar traer una bolsa más grande."

----

"The Evening Walk";"La Caminata de la Tarde"
"We look at the sky as the sun goes down.";"Miramos el cielo mientras baja el sol."
"She shows her dog the path to follow.";"Ella le muestra a su perro el camino a seguir."
"They need a short break after climbing the hill.";"Ellos necesitan un descanso después de subir la colina."
"He forgets his water bottle again.";"Él olvida su botella de agua otra vez."
"I pay for a cold drink at a small stand.";"Pago por una bebida fría en un puestecito."
"You practice slow breathing as you walk.";"Practicas respiración lenta mientras caminas."
"We ask a question about the trail distance.";"Preguntamos sobre la distancia del sendero."
"They prepare a quick snack on a bench.";"Ellos preparan un bocadillo rápido en una banca."
"Only a little daylight remains.";"Solo queda un poco de luz del día."
"Later we are going to remember this peaceful moment.";"Más tarde vamos a recordar este momento tranquilo."

----



"The Music Afternoon";"La Tarde de Música"
"We return to the small music room after lunch.";"Regresamos al cuartito de música después de la comida."
"I revisit an old song I like.";"Vuelvo a visitar una canción vieja que me gusta."
"She finishes her warm‑up quickly.";"Ella termina su calentamiento rápido."
"He plays the piano with soft hands.";"Él toca el piano con manos suaves."
"You drink cold water between songs.";"Tomas agua fría entre canciones."
"They work on a new melody together.";"Ellos trabajan en una melodía nueva juntos."
"I use a small notebook for ideas.";"Uso un cuadernito para ideas."
"More students visit the room to listen.";"Más estudiantes visitan el salón para escuchar."
"Only a few minutes remain before closing.";"Solo quedan unos minutos antes de cerrar."
"Tomorrow we are going to finish the whole song.";"Mañana vamos a terminar toda la canción."

---

"The Weekend Trip";"El Viaje del Fin de Semana"
"They return to the bus station early.";"Ellos regresan a la estación de autobuses temprano."
"We revisit a town we love.";"Volvemos a visitar un pueblo que nos encanta."
"I finish packing my backpack.";"Termino de empacar mi mochila."
"You play soft music while we wait.";"Tocas música suave mientras esperamos."
"She drinks a hot coffee before leaving.";"Ella toma un café caliente antes de salir."
"The drivers work all morning.";"Los choferes trabajan toda la mañana."
"We use a simple map to plan the day.";"Usamos un mapa sencillo para planear el día."
"Tourists visit the plaza first.";"Los turistas visitan la plaza primero."
"Only one seat remains open on the bus.";"Solo queda un asiento libre en el autobús."
"Later we are going to travel to the next town.";"Más tarde vamos a viajar al siguiente pueblo."

---

"The Friendly House";"La Casa Amistosa"
"I return home after a long walk.";"Regreso a casa después de una caminata larga."
"We revisit the idea of painting the living room.";"Volvemos a visitar la idea de pintar la sala."
"They finish cleaning the patio.";"Ellos terminan de limpiar el patio."
"He plays a short tune on his guitar.";"Él toca una melodía corta en su guitarra."
"You drink lemonade on the porch.";"Tomas limonada en el porche."
"My parents work in the garden quietly.";"Mis papás trabajan en el jardín en silencio."
"She uses a small brush for details.";"Ella usa una brochita para los detalles."
"Friends visit us with snacks.";"Amigos nos visitan con botanas."
"Only a little paint remains in the can.";"Solo queda un poco de pintura en la lata."
"Tonight we are going to finish the last wall.";"Esta noche vamos a terminar la última pared."

---

"The Airport Morning";"La Mañana en el Aeropuerto"
"They return from a long international trip.";"Ellos regresan de un viaje internacional largo."
"We revisit the same café we used last year.";"Volvemos a visitar el mismo café que usamos el año pasado."
"I finish my drink before security.";"Termino mi bebida antes de seguridad."
"You play music quietly through your headphones.";"Tocas música bajito con tus audífonos."
"She drinks tea while she waits.";"Ella toma té mientras espera."
"Airport workers work fast during the morning rush.";"Los trabajadores del aeropuerto trabajan rápido durante la hora pico."
"We use digital tickets on our phones.";"Usamos boletos digitales en nuestros teléfonos."
"Many families visit the information desk.";"Muchas familias visitan el módulo de información."
"Only one suitcase remains on the belt.";"Solo queda una maleta en la banda."
"Soon we are going to travel to our final destination.";"Pronto vamos a viajar a nuestro destino final."



