word,answer
"a fist, handle, cuff",un puño
a flag,una bandera
a fleet,una flota
"a flight, escape",una fuga
"a flood, deluge",una inundación
"a flow, tide, discharge",un flujo
"a focus, approach",un enfoque
"a folder, file",una carpeta
a follow-up,un seguimiento
"a fondness, interest",una afición
"a food, meal",una comida
a foreigner,un extranjero
"a format, form",un formato
"a formation, education",una formación
"a fortress, strength",una fortaleza
a forum,un foro
"a foundation, ground",un fundamento
a founder,un fundador
"a fragment, passage",un fragmento
"a frame, mark, setting",un marco
a frequency,una frecuencia
a friend (f),una amiga
a frustration,una frustración
"a fulfillment, realization",una realización
"a function, meeting",una función
a funds,un fondo
"a fusion, union",una fusión
"a gain, profit",una ganancia
a gala (performance/ dinner),una gala
a galaxy,una galaxia
"a gallery, balcony",una galería
"a game, play, sport",un juego
"a garbage, rubbish",una basura
a gas,un gas
"a gaze, look",una mirada
a general,un general
a generation,una generación
a geography,una geografía
a gesture,un gesto
"a ghost, phantom",un fantasma
"a ghost, specter",un espectro
a giant,un gigante
a girl,una muchacha
"a girl, female",una chica
"a girlfriend, bride",una novia
"a glass, crystal, window",un cristal
"a glass, pane",un vidrio
"a glory, fame",una gloria
a glove,un guante
"a goal, aim, purpose",una meta
"a god, divinity",un dios
a gold,un oro
"a goodbye, farewell",una despedida
"a goodness, kindness",una bondad
"a goods, property, benefit",un bien
"a government, management",una gobernación
"a grace, favor",una gracia
a grandmother,una abuela
"a grief, affliction",un duelo
"a ground, earth, terrain",un terreno
"a ground, floor",un suelo
"a grounds, precincts",un recinto
"a group, set",un conjunto
"a grudge, spite",un rencor
a guest,un invitado
"a guest, lodger",un huésped
"a guide, leader",una guía
a guitar,una guitarra
"a gun, rifle",un fusil
"a habit, custom, usage",una costumbre
a hair,un cabello
a hair,un pelo
"a hall, corridor",un pasillo
"a hall, room",un salón
"a handling, management",un manejo
"a harm, injury, damage",un daño
"a harvest, crop",una cosecha
"a head, header",una cabecera
a health,una salud
"a hearing, auditorium",un auditorio
"a hearing, ear",un oído
a hectare,una hectárea
a helicopter,un helicóptero
"a hell, inferno",un infierno
a helmet,un casco
"a help, aid",una ayuda
"a help, aid, assistance",un auxilio
a hero,un héroe
"a hierarchy, rank",una jerarquía
a high school,un liceo
a hill,un cerro
"a hole, cavity",un hueco
"a hole, opening",un agujero
"a home, hearth",un hogar
a honey,una miel
a hormone,una hormona
"a horn, antler",un cuerno
"a horror, atrocity",un horror
a hospital,un hospital
"a housing, dwelling",una vivienda
"a humanity, mankind",una humanidad
a hundred,un centenar
"a hunger, starvation",una hambre
a hunter,un cazador
a hunting (game),una caza
a husband,un marido
"a hymn, anthem",un himno
"a jail, prison",una cárcel
"a jealousy, zeal",un celo
"a jewel, treasure",una joya
"a judge, magistrate",un magistrado
a justification,una justificación
"a key, faucet, wrench",una llave
a keyboard,un teclado
"a kick, punt",una patada
"a kid, youngster",un chiquillo
a kilogram,un kilo
"a kind, class, order",una clase
a king,un rey
a kitchen,una cocina
a knee,una rodilla
a knowledge,un conocimiento
"a label, etiquette",una etiqueta
"a labor strike, attack",un paro
a lace,un encaje
"a lady, dame",una dama
a lagoon,una laguna
a landscape,un paisaje
a last name,un apellido
a Latin,un latín
"a laugh, chuckle",una risa
"a launch, release",un lanzamiento
"a layer, coat",una capa
"a lead (metal), bullet",un plomo
"a leader, director, manager",un dirigente
a leadership,un liderazgo
"a league, elastic band",una liga
"a learning, training, instruction, experience",un aprendizaje
"a leather, skin",un cuero
"a lecture, discourse, talk",un discurso
a left,una izquierda
a leg,una pierna
a legend,una leyenda
a legislation,una legislación
"a length, longitude",una longitud
"a letter, (playing) card",una carta
a level,un nivel
a library,una biblioteca
"a lieutenant, deputy mayor",un teniente
a life,una vida
a light,una luz
a lip,un labio
a liquid,un líquido
a liter,un litro
a little thing,una cosita
"a loan, borrowing",un préstamo
a logic,una lógica
"a loneliness, solitude",una soledad
"a longing, yearning",un anhelo
a love,un amor
"a love, affection",un cariño
a machine,una máquina
"a madness, insanity",una locura
a magic,una magia
"a mail, post (office)",un correo
"a maintenance, sustenance",un mantenimiento
a makeup,un maquillaje
"a male, man",un varón
"a manager, entrepreneur",un empresario
"a manager, person in charge",un encargado
"a maneuver, operation",una maniobra
"a manual, handbook",un manual
a manuscript,un manuscrito
a map,un mapa
a marble,un mármol
"a mark, brand, trademark",una marca
a market,un mercado
"a mass, dough, bulk, crowd",una masa
"a master, boss (m)",un amo
"a material, element",un material
"a matter, issue, affair",un asunto
a mattress,un colchón
"a maturity, ripeness",una madurez
a May,un mayo
a mayor,un alcalde
"a maze, labyrinth",un laberinto
a meaning,un significado
a measure,una medida
"a meat, flesh",una carne
a mechanism,un mecanismo
"a medal, medallion",una medalla
a medicine,una medicina
"a medicine, drug",un medicamento
a meditation,una meditación
"a meeting, game, skirmish",un encuentro
"a meeting, reunion",una reunión
a melody,una melodía
"a member, limb",un miembro
"a member, partner",un socio
a memory,una memoria
a mention,una mención
a menu,un menú
"a meter, subway",un metro
a migration,una migración
a milk,una leche
a mind,una mente
"a mineral, ore",un mineral
a mining,una minería
a minority,una minoría
a minute,un minuto
"a mirror, reflection",un espejo
"a misery, wretchedness",una miseria
"a misfortune, bad luck",una desgracia
"a mission, task",una misión
"a mobility, movement",una movilidad
"a mockery, joke, trick",una burla
"a mode, manner",una modalidad
"a mold, cast, pattern",un molde
"a moment, time",un momento
a Monday,un lunes
"a monster, monstrosity",un monstruo
a month,un mes
a monument,un monumento
"a mood, humor",un humor
a moon,una luna
"a morning, tomorrow",una mañana
a mother,una madre
a mountain range,una cordillera
"a mouse, rat",un ratón
"a mouth, entrance, opening",una boca
"a move, play",una jugada
"a movement, removal",un desplazamiento
"a movie, film",una película
"a Mrs., lady, madam",una señora
a multitude,una multitud
"a municipality, town",un municipio
a muscle,un músculo
a museum,un museo
"a mushroom, fungus",un hongo
a musician,un músico
a mustache,un bigote
a myth,un mito
"a name, denomination",una denominación
"a name, noun",un nombre
"a narrative, story",una narrativa
a narrator,un narrador
"a native land, fatherland",una patria
"a nature, character",una naturaleza
"a navigation, shipping",una navegación
"a nearness, proximity",una cercanía
"a needle, spire, stylus",una aguja
"a neglect, oversight",un descuido
a negotiation,una negociación
a neighbor,un vecino
"a neighborhood, district",un barrio
a nest,un nido
"a network, net, system",una red
a news,una noticia
"a newspaper, periodical",un periódico
"a night, evening",una noche
a nightmare,una pesadilla
a noise,un ruido
a northwest,un noroeste
"a note, annotation",un apunte
"a note, grade",una nota
"a notion, idea",una noción
a November,un noviembre
a nurse,un enfermero
"a package, packet",un paquete
"a pact, agreement",un pacto
a page,una página
"a painting, paint",una pintura
"a painting, picture",un cuadro
"a pair, couple (m)",un par
"a panel, screen",un panel
a panic,un pánico
"a pants, trousers",un pantalón
"a parade, line, formation",un desfile
a paradise,un paraíso
a parish,una parroquia
a park,un parque
"a part, portion, share",una porción
"a participation, involvement",una participación
"a party, feast",una fiesta
"a party, group, (sports) match",un partido
a passenger,un pasajero
"a passion, desire",una pasión
a patience,una paciencia
a pause,una pausa
a payment,un pago
a peace,una paz
"a peasant, farmer",un campesino
a people,una gente
a perfection,una perfección
"a permission, permit",un permiso
a person,una persona
a perspective,una perspectiva
a peseta (money),una peseta
"a petition, request, demand",una demanda
"a pharmacy, drugstore",una farmacia
a phenomenon,un fenómeno
a philosophy,una filosofía
"a phone, telephone",un teléfono
"a photo, picture",una foto
a photograph,una fotografía
a photographer,un fotógrafo
a physicist,un físico
a piano,un piano
"a piece, bit",un pedazo
"a pig, sow, slob",un cerdo
"a pill, capsule",una pastilla
"a pillar, column",un pilar
"a pity, mercy",una piedad
"a place, position",un lugar
"a place, space",un sitio
a plastic,un plástico
"a platform, springboard",una plataforma
"a pleasure, taste, preference",un gusto
"a plot, theme",una trama
a pocket,un bolsillo
a poem,un poema
"a poison, venom",un veneno
a politician,un político
"a politics, policy",una política
"a poll, survey, inquiry",una encuesta
"a pool, puddle",un charco
a population,una población
"a position, charge, fee",un cargo
"a position, location",una ubicación
a possession,una posesión
a possibility,una posibilidad
a poster,un cartel
a potato,una papa
"a poverty, lack, scarcity",una pobreza
"a power, control",un dominio
"a power, potential",una potencia
a precision,una precisión
a preference,una preferencia
"a pregnancy, difficulty, obstacle, hindrance",un embarazo
a prejudice,un prejuicio
"a premiere, debut",un estreno
"a preparation, training",una preparación
a present,un presente
a present (time),una actualidad
"a pretension, claim, aspiration",una pretensión
"a pretext, excuse",un pretexto
"a prevention, warning",una prevención
"a price, cost, value",un precio
a pride,un orgullo
"a priest (m), cure (f)",una cura
a princess,una princesa
"a prison, imprisonment",una prisión
a prisoner,un preso
a prisoner,un prisionero
"a private life, intimacy",una intimidad
"a prize, reward",un premio
a probability,una probabilidad
"a problems, difficulties",una problemática
"a procedure, proceedings",un procedimiento
"a procedure, step, requirement",un trámite
"a process, procedure",un proceso
a procession,una procesión
a producer,un productor
"a program, plan",un programa
"a programming, scheduling",una programación
"a projection, screening",una proyección
"a promotion, climb",un ascenso
"a proof, sample, sign",una muestra
a property,una propiedad
a proportion,una proporción
"a proposal, proposition",una propuesta
a proposition,una proposición
a protection,una protección
"a publisher (f), editorial article (m)",un editorial
"a pulse, pulsation",un pulso
a pupil,una pupila
"a purity, chastity",una pureza
"a purpose, aim",una finalidad
a quality,una calidad
"a quality, attribute",una cualidad
a queen,una reina
a question,una pregunta
"a question, matter",una cuestión
a rabbit,un conejo
"a race, lineage",una raza
"a radiation, release, dispersion, broadcast, emission",una emisión
a radio,una radio
"a rag, cloth",un trapo
a railway,un ferrocarril
a ranch,una hacienda
"a random, chance, hazard",un azar
"a range, musical scale",una gama
"a rate, fee, levy",una tasa
"a rate, tariff",una tarifa
"a ray, beam, lightning",un rayo
a reading,una lectura
a realism,un realismo
a reason,una razón
"a rebirth, Renaissance",un renacimiento
"a receiver, recipient",un receptor
"a reception, waiting room",una recepción
"a recipe, prescription",una receta
"a recognition, acknowledgment",un reconocimiento
"a recovery, recuperation",una recuperación
a reduction,una reducción
"a reduction, decrease",una disminución
"a reference, allusion",una referencia
a reflection,una reflexión
a reflection,un reflejo
"a register, record",un registro
"a regulations, rules",un reglamento
"a reign, rule",un reinado
"a rejection, refusal",un rechazo
"a relationship, relation",una relación
a relative,un familiar
a relevance,una relevancia
a religion,una religión
"a rent, rental",un alquiler
"a repair, reparation",una reparación
a report,un informe
a representation,una representación
"a reputation, fame",una fama
"a request, application",una solicitud
"a requirement, request, summons",un requerimiento
"a rescue, ransom",un rescate
a residence,una residencia
"a residence, address",un domicilio
"a residue, waste",un residuo
"a resistance, opposition",una resistencia
"a rest, remainder, leftover",un resto
"a restoration, renovation",una restauración
a restriction,una restricción
"a retreat, withdrawal",una retirada
"a revenge, vengeance",una venganza
"a revolver, E3085gun",un revólver
a rhythm,un ritmo
"a rhythm, time, compass",un compá
a rice,un arroz
"a riches, wealth",una riqueza
a risk,un riesgo
"a rite, ritual",un rito
"a ritual, rite",un ritual
a river,un río
"a road, route, path",un camino
"a roll, coil",un rollo
a romance,un romance
a roof,un techo
"a room, bedroom, habitat",una habitación
a rooster,un gallo
a round,una ronda
a route,una ruta
"a rug, carpet, mat",una alfombra
"a rule, ruler, regulation",una regla
"a rumor, murmur",un rumor
"a sack, bag, plunder",un saco
a sacrifice,un sacrificio
a saint (f),una santa
"a salary, pay",un sueldo
"a salary, wages",un salario
a sale,una venta
a salesperson,un vendedor
a salt,una sal
"a salvation, rescue",una salvación
"a sanction, approval, penalty",una sanción
a satellite,un satélite
"a saving, thrift",un ahorro
a scar,una cicatriz
"a scarcity, shortage",una escasez
"a scene, stage, setting",una escena
"a schedule, timetable",un horario
"a scholarship, grant",una beca
"a science, knowledge",una ciencia
"a script, hyphen",un guión
"a sculpture, carving",una escultura
a search,una búsqueda
"a search, hunt",una busca
a secretary,una secretaría
a secretary,un secretario
"a section, cut",una sección
"a security, safety",una seguridad
a semester,un semestre
"a sensation, feeling",una sensación
"a sense, feeling",un sentido
"a sentence (in prison), penalty",una condena
a separation,una separación
a September,un septiembre
a sergeant,un sargento
a servant,un servidor
"a service, helpfulness",un servicio
"a session, meeting",una sesión
"a settler, resident",un poblador
a sex,un sexo
"a shade, tint, nuance",un matiz
"a shame, pity",una lástima
a shell,una concha
"a shepherd, pastor",un pastor
"a shine, twinkling, sparkle",un brillo
"a ship, embarkation",una embarcación
"a ship, vessel, hull",un buque
"a shipment, delivery",un envío
"a shit, crap, excrement",una mierda
a shoe,un zapato
"a shop, store, tent",una tienda
"a shopping, buy, purchase",una compra
"a shore, edge",una orilla
a shoulder,un hombro
a side,un lado
"a side, flank",un costado
"a sign, mark, seal",una seña
a silence,un silencio
a silk,una seda
"a silver, money",una plata
a sin,un pecado
"a singing, chant",un canto
a sister,una hermana
"a size (of clothing), stature",una talla
"a skull, cranium",un cráneo
a slave,un esclavo
a slavery,una esclavitud
a sleeve,una manga
"a slope, descent, earring",un pendiente
"a slope, incline, tendency",una inclinación
a slowness,una lentitud
a smile,una sonrisa
a snow,una nieve
a society,una sociedad
"a socket, basin, bowl",una cuenca
a software,un software
"a solidarity, togetherness",una solidaridad
"a sort, gender, genre",un género
a soul,una alma
a soup,una sopa
a source,una fuente
a sovereignty,una soberanía
"a spacecraft, ship",una nave
"a spectator, onlooker",un espectador
"a speculation, conjecture",una especulación
"a speech, talking",una habla
"a speed, velocity",una velocidad
"a sphere, globe",una esfera
a spider,una araña
a splendor,un esplendor
"a spokesperson, mouthpiece",un portavoz
"a spring, springlike",una primavera
a stability,una estabilidad
"a stage, period",una etapa
"a stain, spot",una mancha
"a stair, rung,",un escalón
"a stairs, ladder",una escalera
"a stamp, seal",un sello
"a standard, pattern, norm",una norma
a star,una estrella
"a start, beginning",un comienzo
"a state, condition, status",un estado
"a statement, announcement",un comunicado
"a statement, assertion",una afirmación
a statistic,una estadística
a statue,una estatua
"a stature, height",una estatura
"a stay, stance, ranch",una estancia
a steering wheel,un volante
"a stick, pole",un palo
a storm,una tormenta
"a story, tale",un cuento
"a straw, thatching",una paja
a street,una calle
"a strength, force, power",una fuerza
a stress,un estré
a structure,una estructura
"a stupidity, stupid thing",una estupidez
a style,un estilo
"a subject, course",una asignatura
"a substance, essence",una sustancia
a success,un éxito
"a success, achievement",un logro
a successor,un sucesor
a suffering,un sufrimiento
a summary,un resumen
a summer,un verano
"a summit, peak, top",una cima
"a summit, top",una cumbre
a Sunday,un domingo
"a supplier, dealer",un proveedor
"a support, backing",un apoyo
"a support, backing, back",un respaldo
"a surface, area",una superficie
a surgery,una cirugía
a surprise,una sorpresa
"a surveillance, vigilance",una vigilancia
a survival,una supervivencia
a suspension,una suspensión
a symbol,un símbolo
"a sympathy, affinity",una simpatía
a symptom,un síntoma
a syndrome,un síndrome
a synthesis,una síntesi
"a talk, chat",una charla
"a taste, flavor, sensation",un sabor
a taxes,un impuesto
"a taxi, cab",un taxi
"a teaching, instruction",una enseñanza
a technology,una tecnología
"a telescope, eyeglasses",un anteojo
a television set,un televisor
a temperature,una temperatura
"a tendency, style",una tendencia
a tennis,un teni
"a tension, stress, strain",una tensión
a territory,un territorio
"a testimony, evidence",un testimonio
"a theme, subject, topic",un tema
a thief,un ladrón
a thing,una cosa
a third,un tercio
a thirst,una sed
"a thought, thinking",un pensamiento
"a threshold, outset",un umbral
"a throat, gorge",una garganta
a time (specific occurrence),una vez
"a tiredness, weariness",un cansancio
"a title, heading",un título
a ton,una tonelada
a tone,un tono
a tool,una herramienta
"a tooth, cog",un diente
a torture,una tortura
"a touch, ringing, warning",un toque
a tournament,un torneo
a tower,una torre
"a town, locality",una localidad
"a traffic, trade",un tráfico
"a traffic, transit",un tránsito
"a train, convoy",un tren
"a transaction, deal",una transacción
"a transcendent nature, significance",una trascendencia
a transformation,una transformación
"a transmitter, emitter",un emisor
"a transparency, slide",una transparencia
"a treasure, thesaurus",un tesoro
"a treasury, finances",una finanza
"a treatment, processing",un tratamiento
a tree,un árbol
"a tremor, shudder, shiver",un temblor
a triangle,un triángulo
a tribe,una tribu
"a trick, trap",una trampa
"a triumph, victory",un triunfo
a trouble,una pena
"a trouble, predicament",un apuro
"a truce, rest",una tregua
"a truck, van, tanker",un camión
a Tuesday,un mart
a tunnel,un túnel
"a turn, draft, expression",un giro
"a TV, television",una televisión
"a unit, unity",una unidad
a universe,un universo
"a use, utilization",una utilización
"a usefulness, utility",una utilidad
"a value, worth",un valor
"a van, bus",una camioneta
"a variant, difference",una variante
"a vault, dome",una bóveda
"a vegetables, greenery",una verdura
a vegetation,una vegetación
a vein,una vena
a verb,un verbo
"a verse, poem",un verso
"a version, account",una versión
a vibration,una vibración
a vice president,un vicepresidente
"a vice, bad habit, defect",un vicio
"a view, sight",una vista
"a village, town",una villa
"a violation, rape",una violación
a violence,una violencia
a violin,un violín
a vision,una visión
a vitamin,una vitamina
"a vocation, calling",una vocación
a voice,una voz
a volcano,un volcán
a volume,un volumen
"a wager, bet",una apuesta
"a walk, ride",un paseo
"a wallet, satchel",una cartera
"a war, warfare",una guerra
"a warehouse, store",un almacén
a warning,un aviso
"a warning, notice",una advertencia
"a watchword, motto, slogan",una consigna
"a wave, ripple",una onda
"a wave, tide, ebb",una marea
"a way, manner",un modo
a week,una semana
"a welcome, greeting",una bienvenida
"a well, shaft",un pozo
a west,un oeste
a wheel,una rueda
a whisky,un whisky
"a whole, totality",una totalidad
a widow,una viuda
a wife,una esposa
"a will, testament",un testamento
a winner,un ganador
a wire,un alambre
"a wisdom, knowledge",una sabiduría
"a withdrawal, retreat",un retiro
"a womb, belly",un vientre
a wood,una madera
a wool,una lana
"a work, job, effort",un trabajo
a world,un mundo
"a worm, caterpillar",un gusano
"a worship, cult",un culto
a writer,un escritor
"a writer, author",un autor
"a writing, scripture",una escritura
a y p.: and a bit,un pico
"a yield, output, efficiency",un rendimiento
a young woman,una señorita
a youth,una juventud
"a zest, spirit, heart",un ánimo
"a zipper, closing",un cierre
accomplice,cómplice
adolescent,adolescente
"aide, auxiliary",auxiliar
an (interior) wall,una pared
an a lo l.: throughout,un largo
"an abandonment, desertion",un abandono
an abortion,un aborto
"an abyss, large gap",un abismo
an academic degree,un bachillerato
an academy,una academia
"an acceptance, approval",una aceptación
"an access, entry",un acceso
"an accident, irregularity",un accidente
an accusation,una denuncia
"an accusation, charge",una acusación
an acquisition,una adquisición
"an action, act, deed",una acción
"an action, acting",una actuación
an actor,un actor
an actress,una actriz
"an adjustment, settlement",un ajuste
an administration,una administración
"an administrator, manager",un administrador
an adolescence,una adolescencia
an adoption,una adopción
"an advantage, benefit",una ventaja
an adventure,una aventura
an adversary,un adversario
"an advertisement, announcement",un anuncio
"an advertising, propaganda",una propaganda
"an advertising, publicity",una publicidad
"an advice, council, counsel",un consejo
"an advisor, counselor",un consejero
"an afternoon, evening",una tarde
an agent,un agente
"an aggression, attack",una agresión
an agreement,un convenio
"an agreement, accord",un acorde
an airport,un aeropuerto
an alert,una alerta
an alliance,una alianza
"an allusion, hint",una alusión
an ally,un aliado
an altar,un altar
an alternative,una alternativa
"an amazement, astonishment",un asombro
an ambassador,un embajador
an ambition,una ambición
an anecdote,una anécdota
"an anguish, distress",una angustia
an anniversary,un aniversario
an ant,una hormiga
"an antiquity, seniority",una antigüedad
"an apparatus, device",un aparato
"an appearance, apparition",una aparición
an appetite,un apetito
"an approval, consent",una aprobación
an April,un abril
an architect,un arquitecto
an architecture,una arquitectura
