word,answer
It is 3:15.,Son las tres y quince.
It is 6:15. ,Son las seis y cuarto.
It is 9:30.,Son las nueve y treinta.
It is 8:30.,Son las ocho y media.
It is 2:50.,Son las tres menos diez.
It is 10:55.,Son las once menos cinco.
It is 8:45.,Son las nueve menos cuarto.
It is 11:45.,Son las doce menos quince.
At what hour?,¿A qué hora?
At what time?,¿A qué hora?
At one o'clock.,A la una.
At two o'clock.,A las dos.
At three o'clock.,A las tres.
At 4:10.,A las cuatro y diez.
At 5:15.,A las cinco y cuarto.
At 6:05.,A las seis y cinco.
At 7:03.,A las siete y tres.
At 8:30.,A las ocho y media.
At 8:45.,A las nueve menos quince.
At 9:40.,A las diez menos veinte.
At 10:35.,A las once menos veinticinco.
At 12:50.,A la una menos diez.
the water,el agua
the lunch,el almuerzo
the waiter,el camarero
the menu,la carta
the supper,la cena
the check,el cheque
the kitchen,la cocina
the dining room,el comedor
the meal,la comida
the spoon,la cuchara
the knife,el cuchillo
"the check, the bill",la cuenta
the breakfast,el desayuno
the tax,el impuesto
the tablecloth,el mantel
the menu,el menú
the waiter,el mozo
the plate,el plato
the tip,la propina
the napkin,la servilleta
the credit card,la tarjeta de crédito
the fork,el tenedor
the glass,el vaso
"warm, hot",caliente
delicious,delicioso
fresh,fresco
cold,frío
clean,limpio
full,lleno
spicy,picante
delicious,sabroso
healthy,sano
dry,seco
dirty,sucio
empty,vacío
"one time, once",una vez
double,doble
"two times, twice",dos veces
triple,triple
three times,tres veces
[a] half,la mitad
the pillow,la almohada
the vacuum cleaner,la aspiradora
the birthday,el cumpleaños
a mess,un desorden
the bedroom,el dormitorio
the broom,la escoba
the sponge,la esponja
the ice cream,el helado
the dishwasher,el lavaplatos
the stain,la mancha
"the work, the job",el oficio
the dust,el polvo
the clothes,la ropa
the sheet,la sábana
at the beginning,al principio
it's another story,es otro cuento
at least,por lo menos
