"277","type","tipo"
"278","work","trabajo"
"279","treatment","tratamiento"
"280","title","título"
"281","unit","unidad"
"282","university","universidad"
"283","use","uso"
"284","value","valor"
"285","times","veces"
"286","truth","verdad"
"287","time","vez"
"288","trip","viaje"
"289","life","vida"
"290","view","vista"
"291","voice","voz"
"292","back","vuelta"
"293","zone","zona"
"294","area","área"
"295","period","época"
"296","success","éxito"
